"Scientific Name","Common Name","GA Prot","US Prot","GRank","Rnd GRank","SRank","Rnd SRank","SwapStatus","ES_ID","Element Code","Group","Georgia Habitat Summary","EO Count","Export Date"
"Etheostoma vulneratum","Wounded Darter","E","null","G3","G3","S1","S1","Yes","17192","AFCQC02A10","Animal","Fast rocky riffles of small to medium rivers","4","March 30, 2023"
"Fundulus bifax","Stippled Studfish","E","null","G2G3","G2","S1","S1","Yes","15905","AFCNB04300","Animal","Slow eddies over sand or gravel along the margins of riffles and runs in medium-sized streams to small rivers","2","March 30, 2023"
"Fusconaia masoni","Atlantic Pigtoe","E","T","G1","G1","S1","S1","Yes","18858","IMBIV40050","Animal","Medium sized streams to large rivers from the Ogeechee River northward; coarse sand and gravel at downstream edge of riffles; fast flowing and well oxygenated water","7","March 30, 2023"
"Hamiota subangulata","Shinyrayed Pocketbook","E","LE","G2","G2","S2","S2","Yes","17151","IMBIV21230","Animal","Medium sized creeks to large rivers in sand substrates in slow to swift flowing water","48","March 30, 2023"
"Hemitremia flammea","Flame Chub","E","null","G3","G3","S1","S1","Yes","16879","AFCJB14010","Animal","Springs and springfed streams; often associated with aquatic vegetation","7","March 30, 2023"
"Leptoxis foremani","Interrupted Rocksnail","E","LE","G1","G1","S1","S1","Yes","17026","IMGASK5230","Animal","Rocky shoals in current","1","March 30, 2023"
"Macrhybopsis etnieri","Coosa Chub","E","null","G3G4","G3","S1","S1","Yes","374030","AFCJB53050","Animal","Fast water in large streams and rivers","16","March 30, 2023"
"Medionidus parvulus","Coosa Moccasinshell","E","LE","G1","G1","S1","S1","Yes","19326","IMBIV28040","Animal","Shoal areas of large rivers to medium sized creeks with sand and gravel substrates.","6","March 30, 2023"
"Medionidus penicillatus","Gulf Moccasinshell","E","LE","G2","G2","S1","S1","Yes","20276","IMBIV28050","Animal","Large rivers to small creeks; found in a variety of substrates","36","March 30, 2023"
"Medionidus simpsonianus","Ochlockonee Moccasinshell","E","LE","G1","G1","SH","SH","Yes","18946","IMBIV28070","Animal","Medium sized river to large creeks with moderate current; muddy sand, sand, and gravel substrates","2","March 30, 2023"
"Medionidus walkeri","Suwannee Moccasinshell","E","LT","G1","G1","SH","SH","Yes","34907","IMBIV28060","Animal","Medium creeks and rivers in slow to moderate current; muddy sand, sand, and gravel","1","March 30, 2023"
"Moxostoma robustum","Robust Redhorse","E","null","G1","G1","S1","S1","Yes","15895","AFCJC10150","Animal","Medium to large rivers, shallow riffles to deep flowing water; moderately swift current","32","March 30, 2023"
"Moxostoma sp. 2","Sicklefin Redhorse","E","null","G1G2","G1","S1","S1","Yes","19728","AFCJC10210","Animal","Riffles, runs and pools in large creeks and small to medium-sized rivers. Juveniles may also occur in reservoirs downstream of spawning sites ","4","March 30, 2023"
"Notropis ariommus","Popeye Shiner","E","null","G3","G3","S1","S1","Yes","21978","AFCJB28100","Animal","Large streams and small rivers in flowing pools areas over gravel","4","March 30, 2023"
"Notropis photogenis","Silver Shiner","E","null","G5","G5","S1","S1","Yes","21001","AFCJB28740","Animal","Large creeks to small rivers in riffles to flowing pools over firm substrates","5","March 30, 2023"
"Noturus eleutherus","Mountain Madtom","E","null","G4","G4","S1","S1","Yes","18247","AFCKA02040","Animal","Riffle areas in medium to large rivers over coarse gravel and rubble","2","March 30, 2023"
"Noturus munitus","Frecklebelly Madtom","E","PT","G3","G3","S1","S1","Yes","15914","AFCKA02170","Animal","Shoals and riffles of moderate to large streams and rivers","7","March 30, 2023"
"Percina antesella","Amber Darter","E","LE","G1G2","G1","S1","S1","Yes","21249","AFCQC04010","Animal","Riffles and runs of medium-sized rivers, patches of sand and small gravel, riverweed","10","March 30, 2023"
"Percina aurantiaca","Tangerine Darter","E","null","G4","G4","S2","S2","Yes","15754","AFCQC04020","Animal","Deep riffles and runs with boulders, cobble, or bedrock in large to moderate headwaters of Tennessee River","5","March 30, 2023"
"Percina aurolineata","Goldline Darter","E","LT","G2","G2","S2","S2","Yes","17607","AFCQC04030","Animal","Shallow rocky riffles with swift current in medium-sized rivers","12","March 30, 2023"
"Percina jenkinsi","Conasauga Logperch","E","LE","G1","G1","S1","S1","Yes","20176","AFCQC04320","Animal","Fast-flowing chutes and pools over clean substrates of gravel or cobbles","2","March 30, 2023"
"Percina kusha","Bridled Darter","E","null","G1G2","G1","S1","S1","Yes","32024","AFCQC04530","Animal","Flowing pools and runs in large streams and small to medium sized rivers with clear water","7","March 30, 2023"
"Percina lenticula","Freckled Darter","E","null","G3","G3","S2","S2","Yes","16991","AFCQC04110","Animal","Swift deep runs of main river channels around large, woody debris, possibly over a rocky substrate","8","March 30, 2023"
"Percina shumardi","River Darter","E","null","G5","G5","SX","SX","No","22386","AFCQC04270","Animal","Large to medium rivers, deep chutes and riffles, coarse gravel substrate","1","March 30, 2023"
"Percina squamata","Olive Darter","E","null","G3","G3","S1","S1","Yes","17801","AFCQC04280","Animal","High gradient upland rivers with large rocky substrate in moderate to swift current","5","March 30, 2023"
"Percina tanasi","Snail Darter","E","LT","G2G3","G2","S1","S1","Yes","16465","AFCQC04290","Animal","Large streams to medium-sized rivers in riffle areas with sand or gravel substrate","1","March 30, 2023"
"Phenacobius crassilabrum","Fatlips Minnow","E","null","G3G4","G3","S2","S2","Yes","15696","AFCJB30020","Animal","Riffle areas in small to medium rivers","7","March 30, 2023"
"Pleurobema decisum","Southern Clubshell","E","LE","G2","G2","S1","S1","Yes","19866","IMBIV35410","Animal","Large rivers to medium sized streams with flowing water; gravel with interstitial sand","12","March 30, 2023"
"Pleurobema georgianum","Southern Pigtoe","E","LE","G1","G1","S1","S1","Yes","17232","IMBIV35140","Animal","Large rivers to medium sized creeks in riffles, runs, and shoals; sand and gravel substrate","13","March 30, 2023"
"Pleurobema hanleyianum","Georgia Pigtoe","E","LE","G1","G1","S1","S1","Yes","21253","IMBIV35160","Animal","Large rivers to medium sized creeks; mainstem only, not in tribs","3","March 30, 2023"
"Pleurobema perovatum","Ovate Clubshell","E","LE","G1","G1","SNA","SNA","No","20759","IMBIV35230","Animal","Sand and fine gravel with moderate current in small to medium-sized rivers","0","March 30, 2023"
"Pleurobema pyriforme","Oval Pigtoe","E","LE","G2","G2","S1","S1","Yes","17444","IMBIV35260","Animal","Large rivers to small creeks with slow to moderate current in pool, run, and riffle habitats; combinations of clay, sand, and gravel substrate","49","March 30, 2023"
"Pleuronaia dolabelloides","Slabside Pearlymussel","E","E","G2","G2","S1","S1","No","408109","IMBIV25010","Animal","small streams to large rivers with flowing water in TN Basin tributaries; stable gravel with interstitial sand","1","March 30, 2023"
"Pseudodontoideus connasaugaensis","Alabama Creekmussel","E","null","G3","G3","S1","S1","Yes","21637","IMBIV42010","Animal","Large rivers to medium sized creeks with moderate current; sand and gravel substrate","6","March 30, 2023"
"Ptychobranchus foremanianus","Rayed Kidneyshell","E","LE","G1","G1","S1","S1","Yes","16813","IMBIV38060","Animal","Medium to large rivers in moderate to swift current; sand and gravel substrate","11","March 30, 2023"
"Typhlichthys subterraneus","Southern Cavefish","E","null","G4","G4","S1","S1","Yes","17628","AFCLA04020","Animal","Underground streams","5","March 30, 2023"
"Ameiurus serracanthus","Spotted Bullhead","R","null","G3","G3","S3","S3","Yes","16434","AFCKA06070","Animal","Large streams and rivers with moderate current and rock-sand substrate","27","March 30, 2023"
"Cambarus englishi","Tallapoosa Crayfish","R","null","G3","G3","S2","S2","Yes","20638","ICMAL07480","Animal","Cobble-rubble riffles of medium size rivers","10","March 30, 2023"
"Cyprinella callitaenia","Bluestripe Shiner","R","null","G2G3","G2","S2","S2","Yes","18179","AFCJB49050","Animal","Flowing areas in large creeks and medium-sized rivers over rocky substrates","52","March 30, 2023"
"Etheostoma duryi","Blackside Snubnose Darter","R","null","G4","G4","S1","S1","Yes","21097","AFCQC02200","Animal","Small to medium streams, gravel to cobble bottoms; riffles and pools","7","March 30, 2023"
"Etheostoma parvipinne","Goldstripe Darter","R","null","G4G5","G4","S2S3","S2","Yes","17335","AFCQC02570","Animal","Small sluggish streams and spring seepage areas in vegetated habitat","26","March 30, 2023"
"Etheostoma rupestre","Rock Darter","R","null","G4","G4","S2","S2","Yes","16849","AFCQC02650","Animal","Swift rocky riffles often associated with attached vegetation such as Podostemum","22","March 30, 2023"
"Etheostoma tallapoosae","Tallapoosa Darter","R","null","G4","G4","S3","S3","No","20577","AFCQC02A80","Animal","Small to medium-sized streams over boulders, rubble, gravel, and sand","31","March 30, 2023"
"Fundulus catenatus","Northern Studfish","R","null","G5","G5","S2","S2","Yes","15739","AFCNB04020","Animal","Margins of small to medium streams in areas of sluggish to moderate current","13","March 30, 2023"
"Hybopsis lineapunctata","Lined Chub","R","null","G3G4","G3","S2","S2","Yes","20658","AFCJB15040","Animal","Upland creeks over sandy substrate with gentle current","59","March 30, 2023"
"Ichthyomyzon bdellium","Ohio Lamprey","R","null","G3G4","G3","S1","S1","Yes","21914","AFBAA01010","Animal","Medium to large rivers, mud to gravel bottoms; riffles in small tributaries","5","March 30, 2023"
"Lucania goodei","Bluefin Killifish","R","null","G5","G5","S1","S1","Yes","18096","AFCNB07010","Animal","Heavily vegetated ponds and streams with little or no current; frequently associated with springs","8","March 30, 2023"
"Micropterus notius","Suwannee Bass","R","null","G3","G3","S2","S2","Yes","21210","AFCQB12030","Animal","Flowing water over rocky shoals or large springs and spring runs","7","March 30, 2023"
"Moxostoma carinatum","River Redhorse","R","null","G4","G4","S3","S3","Yes","21309","AFCJC10040","Animal","Swift waters of medium to large rivers","18","March 30, 2023"
"Notropis hypsilepis","Highscale Shiner","R","null","G3","G3","S3","S3","Yes","20122","AFCJB28570","Animal","Flowing areas of small to large streams over sand or bedrock substrates","83","March 30, 2023"
"Notropis scepticus","Sandbar Shiner","R","null","G4","G4","S2","S2","Yes","19549","AFCJB28850","Animal","Large streams to medium-sized rivers in flowing pools over sandy to rocky substrates","20","March 30, 2023"
"Percina sciera","Dusky Darter","R","null","G5","G5","S3","S3","Yes","21602","AFCQC04260","Animal","Large creeks and rivers in moderate current associated with woody debris, undercut banks, or vegetation","15","March 30, 2023"
"Percina smithvanizi","Muscadine Darter","R","null","G3","G3","S3","S3","Yes","20932","AFCQC04X30","Animal","Flowing pool areas with substrate of sand, detritus, or bedrock in small rivers with clear water","25","March 30, 2023"
"Procambarus verrucosus","Grainy Crayfish","R","null","G4","G4","S2","S2","Yes","31986","ICMAL14A30","Animal","Marshes and standing water(often temporary)adjacent to small, coastal plain creeks.","6","March 30, 2023"
"Procambarus versutus","Sly Crayfish","R","null","G5","G5","S1","S1","Yes","16614","ICMAL14A40","Animal","Found in debris in moderately swift streams. Found in root masses and plants.","17","March 30, 2023"
"Pteronotropis euryzonus","Broadstripe Shiner","R","null","G3","G3","S3","S3","Yes","16092","AFCJB59010","Animal","Flowing areas of medium sized streams associated with sandy substrate and woody debris or vegetation","39","March 30, 2023"
"Utterbackiana heardi","Apalachicola Floater","R","null","G2","G2","S2","S2","No","374051","IMBIV04140","Animal","Found in backwaters and lakes; large rivers with slight current; mud or muddy, slightly packed sands","7","March 30, 2023"
"Alasmidonta arcula","Altamaha Arcmussel","T","null","G2","G2","S3","S3","Yes","17962","IMBIV02010","Animal","Large Rivers and reservoirs on gently sloping banks with soft and fine sediments. Often under overhanging willlows","20","March 30, 2023"
"Alosa alabamae","Alabama Shad","T","null","G2?","G2","S1","S1","Yes","19665","AFCFA01020","Animal","Saltwater; coastal rivers in moderate current; migrates into Gulf coastal waters to reproduce","6","March 30, 2023"
"Cambarus coosawattae","Coosawattee Crayfish","T","null","G2","G2","S2","S2","Yes","22040","ICMAL07420","Animal","Riffle habitats in the Coosawattee River system","30","March 30, 2023"
"Cambarus cryptodytes","Dougherty Plain Cave Crayfish","T","null","G2G3","G2","S2","S2","Yes","17728","ICMAL07100","Animal","Pool areas of subterranean systems","16","March 30, 2023"
"Cambarus extraneus","Chickamauga Crayfish","T","null","G2","G2","S2","S2","Yes","19791","ICMAL07190","Animal","Spring runs to small rivers with slow to moderately flowing sections with rocky substrates, woody debris, or leaf material","26","March 30, 2023"
"Cambarus fasciatus","Etowah Crayfish","T","null","G3","G3","S2","S2","Yes","15653","ICMAL07490","Animal","Lotic habitats under rocks in flowing water","39","March 30, 2023"
"Cambarus howardi","Chattahoochee Crayfish","T","null","G3","G3","S2","S2","Yes","15541","ICMAL07580","Animal","riffle areas of streams; in rocks with swift-flowing water","53","March 30, 2023"
"Cambarus scotti","Chattooga River Crayfish","T","null","G3","G3","S2","S2","Yes","20751","ICMAL07740","Animal","rocky riffles in streams with moderate to swift current","15","March 30, 2023"
"Cambarus strigosus","Lean Crayfish","T","null","G2","G2","S2","S2","Yes","16613","ICMAL07790","Animal","Complex burrows in sandy clay soil, often among roots; Savannah River drainage","15","March 30, 2023"
"Cambarus truncatus","Oconee Burrowing Crayfish","T","null","G2","G2","S2","S2","Yes","21804","ICMAL07810","Animal","Complex burrows in sandy clay soil","24","March 30, 2023"
"Cambarus unestami","Blackbarred Crayfish","T","null","G2","G2","S3","S3","Yes","20302","ICMAL07820","Animal","Medium-sized streams from beneath rocks or within leaf litter in slow to moderate current","15","March 30, 2023"
"Cyprinella xaenura","Altamaha Shiner","T","null","G2G3","G2","S2S3","S2","Yes","18248","AFCJB49230","Animal","Medium-sized to large streams  in runs or pools over sand to gravel substrate","72","March 30, 2023"
"Distocambarus devexus","Broad River Burrowing Crayfish","T","null","G1","G1","S1","S1","Yes","16520","ICMAL50030","Animal","Simple and complex burrows adjacent to streams or in low areas where the water table is near the surface of the ground; also found in ephemeral streams and temporary pools","16","March 30, 2023"
"Elliptio purpurella","Inflated Spike","T","null","G2","G2","S2","S2","Yes","19151","IMBIV14400","Animal","Medium creeks to small rivers; clay, sand, and gravel substrate; moderate current","38","March 30, 2023"
"Elliptoideus sloatianus","Purple Bankclimber","T","LT","G2","G2","S2","S2","Yes","21227","IMBIV15010","Animal","Medium to large rivers in ACF and Ochlockonee basins; all substrates except bedrock. Species was 20 times more likely to occur in cobble substrates (Wisniewski et al. 2013)","22","March 30, 2023"
"Etheostoma chlorobranchium","Greenfin Darter","T","null","G4","G4","S2","S2","Yes","18463","AFCQC02110","Animal","Cool to cold high elevation creeks and rivers in swift current with boulder to bedrock substrate","2","March 30, 2023"
"Etheostoma scotti","Cherokee Darter","T","LT","G2","G2","S2","S2","Yes","16510","AFCQC02XJ0","Animal","Small to medium-sized creeks with moderate current and rocky substrates","115","March 30, 2023"
"Hamiota altilis","Finelined Pocketbook","T","LT","G2G3","G2","S2","S2","Yes","22049","IMBIV21010","Animal","Small streams to large rivers; sand, gravel, and cobble substrates; usually not in swift current","33","March 30, 2023"
"Medionidus acutissimus","Alabama Moccasinshell","T","LT","G2","G2","S1","S1","Yes","16030","IMBIV28010","Animal","Large rivers to medium sized creeks; sand and gravel substrate; slow to swift current","11","March 30, 2023"
"Notropis asperifrons","Burrhead Shiner","T","null","G4","G4","S2","S2","Yes","15713","AFCJB28110","Animal","Small streams to medium-sized rivers in pools, slow runs, and backwater areas","10","March 30, 2023"
"Percina crypta","Halloween Darter","T","null","G2","G2","S2","S2","Yes","32027","AFCQC04440","Animal","Larger streams in riffle/shoal habitat","19","March 30, 2023"
"Phenacobius uranops","Stargazing Minnow","T","null","G4","G4","S1","S1","Yes","21648","AFCJB30050","Animal","Riffle areas in small to medium rivers","7","March 30, 2023"
"Procambarus gibbus","Muckalee Crayfish","T","null","G3Q","G3","S2","S2","Yes","22437","ICMAL14580","Animal","Flowing waters with rocks, woody debris, leaf litter, or undercut banks","18","March 30, 2023"
"Pteronotropis welaka","Bluenose Shiner","T","null","G3G4","G3","S1","S1","Yes","20922","AFCJB59050","Animal","Quiet backwaters and vegetated pools of streams and rivers","8","March 30, 2023"
"Strophitus radiatus","Rayed Creekshell","T","null","G2G3","G2","S2","S2","Yes","374075","IMBIV42040","Animal","Small creeks to large rivers,mud, sand, or gravel substrates","34","March 30, 2023"
"Toxolasma pullus","Savannah Lilliput","T","null","G2","G2","S2","S2","Yes","18950","IMBIV43070","Animal","Large rivers to small creeks, oxbows, and sloughs; found in silty sand and sand in shallow wateralong banks to about 1 foot deep in some lakes, ponds, streams, and big rivers","13","March 30, 2023"
